age,gender,platform,location,demographics,profession,income,indebt,owns property,total time spent,number of sessions,video category,video length,importance score,time spent on video,number of videos watched,scroll rate,frequency,productivityloss,satisfaction,watch reason,devicetype,os,watch time,self control,currentactivity,connectiontype,age_group
56,Male,Instagram,United Kingdom,Urban,Software Engineer,19774,True,False,180.0,11.0,Sports,17.11111111111111,5.06809149300772,16.0,25.773938795656463,52.70482860695771,Morning,8.0,4.816356029740797,Habit,Smartphone,Android,8.0,7.011073020732527,At school,Wi-Fi,54-59
46,Female,Facebook,United Kingdom,Urban,Student,10564,True,True,120.0,17.0,Travel,299.8087860992866,5.06809149300772,168.29518756316386,25.773938795656463,52.70482860695771,Night,25.20095659738548,4.816356029740797,Entertainment,Tablet,Android,21.0,7.011073020732527,At home,Mobile Data,42-47
32,Male,Instagram,Australia,Sub_Urban,Marketer Manager,13258,False,False,480.0,7.333333333333333,Sports,3.333333333333333,5.06809149300772,10.333333333333334,25.773938795656463,52.70482860695771,Night,4.0,4.816356029740797,Entertainment,Computer,Android,21.0,7.011073020732527,At home,Mobile Data,30-35
60,non-binary,Instagram,United Kingdom,Urban,Student,12500,False,True,300.0,12.0,Travel,19.0,5.06809149300772,9.625,25.773938795656463,52.70482860695771,Evening,3.25,4.816356029740797,Boredom,Smartphone,iOS,14.0,7.011073020732527,At home,Mobile Data,60-65
25,Male,Instagram,Australia,Urban,Software Engineer,14566,False,True,60.0,7.714285714285714,Lifestlye,16.714285714285715,5.06809149300772,13.5,25.773938795656463,52.70482860695771,Afternoon,4.0,4.816356029740797,Boredom,Smartphone,Android,17.0,7.011073020732527,At home,Mobile Data,24-29
38,Male,Facebook,United States,Urban,Marketer Manager,19179,True,True,180.0,17.0,Travel,299.8087860992867,5.06809149300772,168.2951875631639,25.773938795656463,52.70482860695771,Evening,25.20095659738548,4.816356029740797,Habit,Tablet,Android,14.0,7.011073020732527,At home,Wi-Fi,36-41
56,Male,YouTube,United States,Urban,Student,16881,True,True,480.0,14.0,Sports,182.95511411437172,5.06809149300772,127.1561696807366,25.773938795656463,52.70482860695771,Afternoon,25.119700715064823,4.816356029740797,Habit,Smartphone,Android,17.0,7.011073020732527,At school,Mobile Data,54-59
36,Male,Instagram,Australia,Urban,Marketer Manager,13636,True,False,240.0,12.22222222222222,Sports,14.444444444444445,5.06809149300772,4.0,25.773938795656463,52.70482860695771,Evening,3.0,4.816356029740797,Entertainment,Tablet,Android,14.0,7.011073020732527,Commuting,Wi-Fi,36-41
40,non-binary,YouTube,Australia,Sub_Urban,Marketer Manager,16030,False,False,420.0,14.0,Lifestlye,182.95511411437172,5.06809149300772,127.1561696807366,25.773938795656463,52.70482860695771,Evening,25.119700715064823,4.816356029740797,Boredom,Tablet,iOS,14.0,7.011073020732527,At school,Wi-Fi,36-41
28,non-binary,Instagram,Australia,Sub_Urban,Marketer Manager,10223,True,False,120.0,6.0,Sports,17.166666666666668,5.06809149300772,12.555555555555555,25.773938795656463,52.70482860695771,Evening,5.222222222222222,4.816356029740797,Entertainment,Smartphone,MacOS,14.0,7.011073020732527,At school,Mobile Data,24-29
28,Female,YouTube,United Kingdom,Urban,Student,16297,True,True,420.0,14.0,Lifestlye,182.95511411437172,5.06809149300772,127.1561696807366,25.773938795656463,52.70482860695771,Afternoon,25.119700715064823,4.816356029740797,Habit,Smartphone,iOS,17.0,7.011073020732527,At home,Wi-Fi,24-29
